"Repetition" "Repartition" "Separation" "NbVar" "Time"
"201" 1 "equilibre" "faible" 100 55.7487459182739
"202" 2 "equilibre" "faible" 100 108.839403867722
"203" 3 "equilibre" "faible" 100 162.094285964966
"204" 4 "equilibre" "faible" 100 214.731279850006
"205" 5 "equilibre" "faible" 100 284.619335889816
"206" 6 "equilibre" "faible" 100 339.819908857346
"207" 7 "equilibre" "faible" 100 402.522948980331
"208" 8 "equilibre" "faible" 100 450.674381971359
"209" 9 "equilibre" "faible" 100 502.895581007004
"210" 10 "equilibre" "faible" 100 567.827646970749
"211" 11 "equilibre" "faible" 100 617.078008890152
"212" 12 "equilibre" "faible" 100 654.960352897644
"213" 13 "equilibre" "faible" 100 722.855945825577
"214" 14 "equilibre" "faible" 100 759.434857845306
"215" 15 "equilibre" "faible" 100 822.750766038895
"216" 16 "equilibre" "faible" 100 868.431766033173
"217" 17 "equilibre" "faible" 100 911.714354991913
"218" 18 "equilibre" "faible" 100 962.957774877548
"219" 19 "equilibre" "faible" 100 1006.68416404724
"220" 20 "equilibre" "faible" 100 1054.90640687943
"221" 21 "equilibre" "faible" 100 1122.3761909008
"222" 22 "equilibre" "faible" 100 1183.33971786499
"223" 23 "equilibre" "faible" 100 1236.46401000023
"224" 24 "equilibre" "faible" 100 1284.54415392876
"225" 25 "equilibre" "faible" 100 1374.08028793335
"226" 26 "equilibre" "faible" 100 1419.36229801178
"227" 27 "equilibre" "faible" 100 1472.0784099102
"228" 28 "equilibre" "faible" 100 1527.86620283127
"229" 29 "equilibre" "faible" 100 1577.0612039566
"230" 30 "equilibre" "faible" 100 1616.92458701134
"231" 31 "equilibre" "faible" 100 1658.02248382568
"232" 32 "equilibre" "faible" 100 1723.50292491913
"233" 33 "equilibre" "faible" 100 1766.03973388672
"234" 34 "equilibre" "faible" 100 1844.05927991867
"235" 35 "equilibre" "faible" 100 1898.8420920372
"236" 36 "equilibre" "faible" 100 1971.4540579319
"237" 37 "equilibre" "faible" 100 2024.42797493935
"238" 38 "equilibre" "faible" 100 2085.01011705399
"239" 39 "equilibre" "faible" 100 2133.46878099442
"240" 40 "equilibre" "faible" 100 2189.28775596619
"241" 41 "equilibre" "faible" 100 2257.76081204414
"242" 42 "equilibre" "faible" 100 2313.22353887558
"243" 43 "equilibre" "faible" 100 2344.54448699951
"244" 44 "equilibre" "faible" 100 2401.54248285294
"245" 45 "equilibre" "faible" 100 2480.96290183067
"246" 46 "equilibre" "faible" 100 2530.22504591942
"247" 47 "equilibre" "faible" 100 2592.80958604813
"248" 48 "equilibre" "faible" 100 2640.21707391739
"249" 49 "equilibre" "faible" 100 2711.08866596222
"250" 50 "equilibre" "faible" 100 2774.52809882164
"251" 1 "desequilibre" "faible" 100 55.792827129364
"252" 2 "desequilibre" "faible" 100 125.508219957352
"253" 3 "desequilibre" "faible" 100 171.892668962479
"254" 4 "desequilibre" "faible" 100 222.344202041626
"255" 5 "desequilibre" "faible" 100 259.75541305542
"256" 6 "desequilibre" "faible" 100 309.785048961639
"257" 7 "desequilibre" "faible" 100 358.999146938324
"258" 8 "desequilibre" "faible" 100 418.817543029785
"259" 9 "desequilibre" "faible" 100 462.213355064392
"260" 10 "desequilibre" "faible" 100 532.380401134491
"261" 11 "desequilibre" "faible" 100 586.558650970459
"262" 12 "desequilibre" "faible" 100 641.146065950394
"263" 13 "desequilibre" "faible" 100 694.961739063263
"264" 14 "desequilibre" "faible" 100 747.343132972717
"265" 15 "desequilibre" "faible" 100 803.135158061981
"266" 16 "desequilibre" "faible" 100 856.51642203331
"267" 17 "desequilibre" "faible" 100 914.391112089157
"268" 18 "desequilibre" "faible" 100 978.129210948944
"269" 19 "desequilibre" "faible" 100 1038.31747603416
"270" 20 "desequilibre" "faible" 100 1091.62465906143
"271" 21 "desequilibre" "faible" 100 1147.88125610352
"272" 22 "desequilibre" "faible" 100 1207.77158308029
"273" 23 "desequilibre" "faible" 100 1264.12919402122
"274" 24 "desequilibre" "faible" 100 1315.76634407043
"275" 25 "desequilibre" "faible" 100 1370.9136929512
"276" 26 "desequilibre" "faible" 100 1427.76128411293
"277" 27 "desequilibre" "faible" 100 1480.33377504349
"278" 28 "desequilibre" "faible" 100 1532.86571002007
"279" 29 "desequilibre" "faible" 100 1594.2349319458
"280" 30 "desequilibre" "faible" 100 1650.05191612244
"281" 31 "desequilibre" "faible" 100 1699.62087607384
"282" 32 "desequilibre" "faible" 100 1756.28383994102
"283" 33 "desequilibre" "faible" 100 1816.01167798042
"284" 34 "desequilibre" "faible" 100 1887.62066507339
"285" 35 "desequilibre" "faible" 100 1939.70372796059
"286" 36 "desequilibre" "faible" 100 1991.9829120636
"287" 37 "desequilibre" "faible" 100 2047.33499598503
"288" 38 "desequilibre" "faible" 100 2098.13675093651
"289" 39 "desequilibre" "faible" 100 2153.11356091499
"290" 40 "desequilibre" "faible" 100 2215.04186105728
"291" 41 "desequilibre" "faible" 100 2270.65855097771
"292" 42 "desequilibre" "faible" 100 2322.66925406456
"293" 43 "desequilibre" "faible" 100 2377.87081694603
"294" 44 "desequilibre" "faible" 100 2437.72408103943
"295" 45 "desequilibre" "faible" 100 2485.80084514618
"296" 46 "desequilibre" "faible" 100 2543.14195799828
"297" 47 "desequilibre" "faible" 100 2603.34415912628
"298" 48 "desequilibre" "faible" 100 2656.88353705406
"299" 49 "desequilibre" "faible" 100 2708.82172012329
"300" 50 "desequilibre" "faible" 100 2763.67575192451
"301" 1 "equilibre" "forte" 100 43.0980308055878
"302" 2 "equilibre" "forte" 100 105.23827791214
"303" 3 "equilibre" "forte" 100 157.849630832672
"304" 4 "equilibre" "forte" 100 211.777125835419
"305" 5 "equilibre" "forte" 100 266.545628786087
"306" 6 "equilibre" "forte" 100 312.462024927139
"307" 7 "equilibre" "forte" 100 367.910625934601
"308" 8 "equilibre" "forte" 100 420.639131784439
"309" 9 "equilibre" "forte" 100 485.95351099968
"310" 10 "equilibre" "forte" 100 525.671291828156
"311" 11 "equilibre" "forte" 100 577.599849939346
"312" 12 "equilibre" "forte" 100 626.433351993561
"313" 13 "equilibre" "forte" 100 678.363645792007
"314" 14 "equilibre" "forte" 100 737.694853782654
"315" 15 "equilibre" "forte" 100 801.69778585434
"316" 16 "equilibre" "forte" 100 840.851096868515
"317" 17 "equilibre" "forte" 100 903.593699932098
"318" 18 "equilibre" "forte" 100 963.353899002075
"319" 19 "equilibre" "forte" 100 1033.58836579323
"320" 20 "equilibre" "forte" 100 1084.56837892532
"321" 21 "equilibre" "forte" 100 1135.21412682533
"322" 22 "equilibre" "forte" 100 1193.82219791412
"323" 23 "equilibre" "forte" 100 1245.88013291359
"324" 24 "equilibre" "forte" 100 1295.22136187553
"325" 25 "equilibre" "forte" 100 1345.06866192818
"326" 26 "equilibre" "forte" 100 1393.96427679062
"327" 27 "equilibre" "forte" 100 1454.3826777935
"328" 28 "equilibre" "forte" 100 1497.03864979744
"329" 29 "equilibre" "forte" 100 1536.92749786377
"330" 30 "equilibre" "forte" 100 1579.80131578445
"331" 31 "equilibre" "forte" 100 1644.07647895813
"332" 32 "equilibre" "forte" 100 1706.49636793137
"333" 33 "equilibre" "forte" 100 1755.36796879768
"334" 34 "equilibre" "forte" 100 1810.57558894157
"335" 35 "equilibre" "forte" 100 1859.9228579998
"336" 36 "equilibre" "forte" 100 1914.90921092033
"337" 37 "equilibre" "forte" 100 1967.96990180016
"338" 38 "equilibre" "forte" 100 2014.61532497406
"339" 39 "equilibre" "forte" 100 2079.09493684769
"340" 40 "equilibre" "forte" 100 2137.98830580711
"341" 41 "equilibre" "forte" 100 2171.33570384979
"342" 42 "equilibre" "forte" 100 2230.91183185577
"343" 43 "equilibre" "forte" 100 2271.26846694946
"344" 44 "equilibre" "forte" 100 2310.50125384331
"345" 45 "equilibre" "forte" 100 2383.36364793777
"346" 46 "equilibre" "forte" 100 2436.4781999588
"347" 47 "equilibre" "forte" 100 2506.00733494759
"348" 48 "equilibre" "forte" 100 2560.28663682938
"349" 49 "equilibre" "forte" 100 2604.40528678894
"350" 50 "equilibre" "forte" 100 2662.01229596138
"351" 1 "desequilibre" "forte" 100 49.7211198806763
"352" 2 "desequilibre" "forte" 100 100.534755945206
"353" 3 "desequilibre" "forte" 100 151.25294303894
"354" 4 "desequilibre" "forte" 100 225.380119085312
"355" 5 "desequilibre" "forte" 100 277.396914958954
"356" 6 "desequilibre" "forte" 100 311.561208963394
"357" 7 "desequilibre" "forte" 100 373.430207967758
"358" 8 "desequilibre" "forte" 100 427.113875865936
"359" 9 "desequilibre" "forte" 100 475.075214862823
"360" 10 "desequilibre" "forte" 100 522.42146897316
"361" 11 "desequilibre" "forte" 100 561.951842069626
"362" 12 "desequilibre" "forte" 100 627.460623979568
"363" 13 "desequilibre" "forte" 100 690.070561885834
"364" 14 "desequilibre" "forte" 100 751.045393943787
"365" 15 "desequilibre" "forte" 100 796.561620950699
"366" 16 "desequilibre" "forte" 100 846.064158916473
"367" 17 "desequilibre" "forte" 100 898.541249990463
"368" 18 "desequilibre" "forte" 100 979.660135030746
"369" 19 "desequilibre" "forte" 100 1033.29634404182
"370" 20 "desequilibre" "forte" 100 1112.47400593758
"371" 21 "desequilibre" "forte" 100 1167.60413503647
"372" 22 "desequilibre" "forte" 100 1226.44146895409
"373" 23 "desequilibre" "forte" 100 1285.26898694038
"374" 24 "desequilibre" "forte" 100 1340.92100095749
"375" 25 "desequilibre" "forte" 100 1391.35175395012
"376" 26 "desequilibre" "forte" 100 1442.28373408318
"377" 27 "desequilibre" "forte" 100 1497.76499605179
"378" 28 "desequilibre" "forte" 100 1558.10100102425
"379" 29 "desequilibre" "forte" 100 1616.60997700691
"380" 30 "desequilibre" "forte" 100 1672.71100687981
"381" 31 "desequilibre" "forte" 100 1728.99064087868
"382" 32 "desequilibre" "forte" 100 1781.227850914
"383" 33 "desequilibre" "forte" 100 1823.72894501686
"384" 34 "desequilibre" "forte" 100 1884.29273796082
"385" 35 "desequilibre" "forte" 100 1943.39329195023
"386" 36 "desequilibre" "forte" 100 1996.74496102333
"387" 37 "desequilibre" "forte" 100 2031.83712506294
"388" 38 "desequilibre" "forte" 100 2080.64584207535
"389" 39 "desequilibre" "forte" 100 2137.93934798241
"390" 40 "desequilibre" "forte" 100 2191.06817889214
"391" 41 "desequilibre" "forte" 100 2251.94476389885
"392" 42 "desequilibre" "forte" 100 2311.28089809418
"393" 43 "desequilibre" "forte" 100 2360.39451503754
"394" 44 "desequilibre" "forte" 100 2406.61991286278
"395" 45 "desequilibre" "forte" 100 2451.40223002434
"396" 46 "desequilibre" "forte" 100 2496.10159707069
"397" 47 "desequilibre" "forte" 100 2552.52964687347
"398" 48 "desequilibre" "forte" 100 2616.94509792328
"399" 49 "desequilibre" "forte" 100 2679.00913405418
"400" 50 "desequilibre" "forte" 100 2721.93848896027
"401" 1 "equilibre" "faible" 150 179.526625871658
"402" 2 "equilibre" "faible" 150 435.320459842682
"403" 3 "equilibre" "faible" 150 629.742725849152
"404" 4 "equilibre" "faible" 150 853.155728816986
"405" 5 "equilibre" "faible" 150 1057.30013990402
"406" 6 "equilibre" "faible" 150 1242.0899348259
"407" 7 "equilibre" "faible" 150 1400.6566798687
"408" 8 "equilibre" "faible" 150 1604.44569897652
"409" 9 "equilibre" "faible" 150 1805.97341990471
"410" 10 "equilibre" "faible" 150 2022.42890691757
"411" 11 "equilibre" "faible" 150 2285.37462186813
"412" 12 "equilibre" "faible" 150 2532.75755000114
"413" 13 "equilibre" "faible" 150 2722.57757496834
"414" 14 "equilibre" "faible" 150 2914.11597585678
"415" 15 "equilibre" "faible" 150 3200.97872686386
"416" 16 "equilibre" "faible" 150 3412.70006990433
"417" 17 "equilibre" "faible" 150 3657.50599098206
"418" 18 "equilibre" "faible" 150 3891.15636086464
"419" 19 "equilibre" "faible" 150 4096.7547018528
"420" 20 "equilibre" "faible" 150 4318.45437383652
"421" 21 "equilibre" "faible" 150 4500.71246600151
"422" 22 "equilibre" "faible" 150 4723.21899199486
"423" 23 "equilibre" "faible" 150 4911.92090201378
"424" 24 "equilibre" "faible" 150 5115.91873693466
"425" 25 "equilibre" "faible" 150 5321.35692596436
"426" 26 "equilibre" "faible" 150 5532.60515880585
"427" 27 "equilibre" "faible" 150 5744.96957588196
"428" 28 "equilibre" "faible" 150 5961.00368285179
"429" 29 "equilibre" "faible" 150 6182.71606302261
"430" 30 "equilibre" "faible" 150 6443.1094379425
"431" 31 "equilibre" "faible" 150 6641.52456092834
"432" 32 "equilibre" "faible" 150 6918.49290800095
"433" 33 "equilibre" "faible" 150 7120.93798494339
"434" 34 "equilibre" "faible" 150 7321.4501888752
"435" 35 "equilibre" "faible" 150 7514.89644193649
"436" 36 "equilibre" "faible" 150 7741.12289094925
"437" 37 "equilibre" "faible" 150 7937.46594285965
"438" 38 "equilibre" "faible" 150 8139.21408486366
"439" 39 "equilibre" "faible" 150 8316.05841779709
"440" 40 "equilibre" "faible" 150 8520.7236559391
"441" 41 "equilibre" "faible" 150 8688.30184602737
"442" 42 "equilibre" "faible" 150 8876.46907091141
"443" 43 "equilibre" "faible" 150 9106.75879788399
"444" 44 "equilibre" "faible" 150 9316.09169983864
"445" 45 "equilibre" "faible" 150 9519.31708884239
"446" 46 "equilibre" "faible" 150 9814.64430999756
"447" 47 "equilibre" "faible" 150 10025.7389068604
"448" 48 "equilibre" "faible" 150 10207.0921039581
"449" 49 "equilibre" "faible" 150 10407.280397892
"450" 50 "equilibre" "faible" 150 10603.3269338608
"451" 1 "desequilibre" "faible" 150 208.146395921707
"452" 2 "desequilibre" "faible" 150 372.185939073563
"453" 3 "desequilibre" "faible" 150 602.050855875015
"454" 4 "desequilibre" "faible" 150 784.230817079544
"455" 5 "desequilibre" "faible" 150 1037.48439598083
"456" 6 "desequilibre" "faible" 150 1226.05114984512
"457" 7 "desequilibre" "faible" 150 1465.52135801315
"458" 8 "desequilibre" "faible" 150 1689.80909085274
"459" 9 "desequilibre" "faible" 150 1953.44059085846
"460" 10 "desequilibre" "faible" 150 2179.80913186073
"461" 11 "desequilibre" "faible" 150 2349.23469305038
"462" 12 "desequilibre" "faible" 150 2569.83682799339
"463" 13 "desequilibre" "faible" 150 2767.42834186554
"464" 14 "desequilibre" "faible" 150 3046.31676697731
"465" 15 "desequilibre" "faible" 150 3255.86943602562
"466" 16 "desequilibre" "faible" 150 3449.55099487305
"467" 17 "desequilibre" "faible" 150 3729.15542888641
"468" 18 "desequilibre" "faible" 150 3952.60970592499
"469" 19 "desequilibre" "faible" 150 4167.2039399147
"470" 20 "desequilibre" "faible" 150 4355.59623408318
"471" 21 "desequilibre" "faible" 150 4548.02128887177
"472" 22 "desequilibre" "faible" 150 4751.73443007469
"473" 23 "desequilibre" "faible" 150 4990.87378191948
"474" 24 "desequilibre" "faible" 150 5196.44561290741
"475" 25 "desequilibre" "faible" 150 5439.21811795235
"476" 26 "desequilibre" "faible" 150 5622.99998998642
"477" 27 "desequilibre" "faible" 150 5813.16897106171
"478" 28 "desequilibre" "faible" 150 6023.68322992325
"479" 29 "desequilibre" "faible" 150 6211.02289199829
"480" 30 "desequilibre" "faible" 150 6423.7530040741
"481" 31 "desequilibre" "faible" 150 6656.93038201332
"482" 32 "desequilibre" "faible" 150 6881.32884097099
"483" 33 "desequilibre" "faible" 150 7079.5962369442
"484" 34 "desequilibre" "faible" 150 7249.97149705887
"485" 35 "desequilibre" "faible" 150 7437.81548786163
"486" 36 "desequilibre" "faible" 150 7637.5862300396
"487" 37 "desequilibre" "faible" 150 7842.74069499969
"488" 38 "desequilibre" "faible" 150 8031.31118202209
"489" 39 "desequilibre" "faible" 150 8229.96022891998
"490" 40 "desequilibre" "faible" 150 8408.41837286949
"491" 41 "desequilibre" "faible" 150 8644.70644187927
"492" 42 "desequilibre" "faible" 150 8855.29124403
"493" 43 "desequilibre" "faible" 150 9097.26742005348
"494" 44 "desequilibre" "faible" 150 9316.29755997658
"495" 45 "desequilibre" "faible" 150 9498.55051898956
"496" 46 "desequilibre" "faible" 150 9704.61386299133
"497" 47 "desequilibre" "faible" 150 9915.63021802902
"498" 48 "desequilibre" "faible" 150 10151.3927688599
"499" 49 "desequilibre" "faible" 150 10384.9388709068
"500" 50 "desequilibre" "faible" 150 10587.7356178761
"501" 1 "equilibre" "forte" 150 287.714365959167
"502" 2 "equilibre" "forte" 150 466.202190876007
"503" 3 "equilibre" "forte" 150 700.365269899368
"504" 4 "equilibre" "forte" 150 855.283401012421
"505" 5 "equilibre" "forte" 150 1068.28042197227
"506" 6 "equilibre" "forte" 150 1260.00196790695
"507" 7 "equilibre" "forte" 150 1461.73741793633
"508" 8 "equilibre" "forte" 150 1653.70960402489
"509" 9 "equilibre" "forte" 150 1875.16645288467
"510" 10 "equilibre" "forte" 150 2068.21901607513
"511" 11 "equilibre" "forte" 150 2265.75519895554
"512" 12 "equilibre" "forte" 150 2433.14040994644
"513" 13 "equilibre" "forte" 150 2626.67636203766
"514" 14 "equilibre" "forte" 150 2805.73174500465
"515" 15 "equilibre" "forte" 150 3068.66254496574
