"Approach" "NbVarSelected" "NbVarInf" "Accuracy_selection" "Specificity_selection" "Sensitivity_selection" "MCC_selection" "Accuracy_training" "Specificity_training" "Sensitivity_training" "MCC_training" "Accuracy_test" "Specificity_test" "Sensitivity_test" "MCC_test" "VarSelected" "coef_estimate" "std_estimate"
"98" "BEST" 3 3 1 1 1 1 0.869 0.872444011684518 0.865364850976362 0.73780886266088 0.8525 0.851190476190476 0.85383064516129 0.705001732829837 "x1;x2;x3" "3.03556067678444;-2.04581866171067;0.533783564879802;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.143025626431362;0.11354832392424;0.0763783776393356;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"99" "CFS" 2 2 0.96 1 0.666666666666667 0.798549409504691 0.8635 0.867575462512171 0.859198355601233 0.726793819799705 0.8475 0.854166666666667 0.840725806451613 0.694995694249766 "x1;x2" "2.89085246938418;-1.94631572752684;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.134553303622687;0.108130548230537;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"100" "CHI2" 2 2 0.96 1 0.666666666666667 0.798549409504691 0.8635 0.867575462512171 0.859198355601233 0.726793819799705 0.8475 0.854166666666667 0.840725806451613 0.694995694249766 "x1;x2" "2.89085246938418;-1.94631572752684;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.134553303622687;0.108130548230537;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"101" "CONS" 2 2 0.96 1 0.666666666666667 0.798549409504691 0.8635 0.867575462512171 0.859198355601233 0.726793819799705 0.8475 0.854166666666667 0.840725806451613 0.694995694249766 "x1;x2" "2.89085246938418;-1.94631572752684;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.134553303622687;0.108130548230537;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"102" "IG" 1 1 0.92 1 0.333333333333333 0.552770798392567 0.78 0.791626095423564 0.767728674203494 0.559576567563205 0.7385 0.758928571428571 0.717741935483871 0.477138600864284 "x1" "2.00519946031763;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.0907900442577323;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"103" "IGR" 1 1 0.92 1 0.333333333333333 0.552770798392567 0.78 0.791626095423564 0.767728674203494 0.559576567563205 0.7385 0.758928571428571 0.717741935483871 0.477138600864284 "x1" "2.00519946031763;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.0907900442577323;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"104" "ONER" 2 2 0.96 1 0.666666666666667 0.798549409504691 0.8635 0.867575462512171 0.859198355601233 0.726793819799705 0.8475 0.854166666666667 0.840725806451613 0.694995694249766 "x1;x2" "2.89085246938418;-1.94631572752684;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.134553303622687;0.108130548230537;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"105" "RELIEF" 1 1 0.92 1 0.333333333333333 0.552770798392567 0.78 0.791626095423564 0.767728674203494 0.559576567563205 0.7385 0.758928571428571 0.717741935483871 0.477138600864284 "x1" "2.00519946031763;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.0907900442577323;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"106" "RFI" 2 2 0.96 1 0.666666666666667 0.798549409504691 0.8635 0.867575462512171 0.859198355601233 0.726793819799705 0.8475 0.854166666666667 0.840725806451613 0.694995694249766 "x1;x2" "2.89085246938418;-1.94631572752684;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.134553303622687;0.108130548230537;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"107" "SU" 1 1 0.92 1 0.333333333333333 0.552770798392567 0.78 0.791626095423564 0.767728674203494 0.559576567563205 0.7385 0.758928571428571 0.717741935483871 0.477138600864284 "x1" "2.00519946031763;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.0907900442577323;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"108" "SVM-RFE" 3 3 1 1 1 1 0.869 0.872444011684518 0.865364850976362 0.73780886266088 0.8525 0.851190476190476 0.85383064516129 0.705001732829837 "x1;x2;x3" "3.03556067678444;-2.04581866171067;0.533783564879802;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.143025626431362;0.11354832392424;0.0763783776393356;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"109" "GAMMA_BACK" 3 3 1 1 1 1 0.869 0.872444011684518 0.865364850976362 0.73780886266088 0.8525 0.851190476190476 0.85383064516129 0.705001732829837 "x1;x2;x3" "3.03556067678444;-2.04581866171067;0.533783564879802;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.143025626431362;0.11354832392424;0.0763783776393356;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"110" "GAMMA_BF" 3 3 1 1 1 1 0.869 0.872444011684518 0.865364850976362 0.73780886266088 0.8525 0.851190476190476 0.85383064516129 0.705001732829837 "x1;x2;x3" "3.03556067678444;-2.04581866171067;0.533783564879802;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.143025626431362;0.11354832392424;0.0763783776393356;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"111" "GAMMA_FORW" 3 3 1 1 1 1 0.869 0.872444011684518 0.865364850976362 0.73780886266088 0.8525 0.851190476190476 0.85383064516129 0.705001732829837 "x1;x2;x3" "3.03556067678444;-2.04581866171067;0.533783564879802;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.143025626431362;0.11354832392424;0.0763783776393356;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"112" "GAMMA_HC" 3 3 1 1 1 1 0.869 0.872444011684518 0.865364850976362 0.73780886266088 0.8525 0.851190476190476 0.85383064516129 0.705001732829837 "x1;x2;x3" "3.03556067678444;-2.04581866171067;0.533783564879802;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.143025626431362;0.11354832392424;0.0763783776393356;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"113" "BASELINE" 25 3 0.12 0 1 0 0.876 0.87875751503006 0.873253493013972 0.752015520168738 0.855 0.864541832669323 0.845381526104418 0.710089541831151 "x1;x2;x3;Noise1;Noise2;Noise3;Noise4;Noise5;Noise6;Noise7;Noise8;Noise9;Noise10;Noise11;Noise12;Noise13;Noise14;Noise15;Noise16;Noise17;Noise18;Noise19;Noise20;Noise21;Noise22" "3.37400364305618;-2.33632783134978;0.602255824992004;0.0729957522971483;-0.0329349877005869;0.00908782714275373;0.0296094843879263;0.0369377836191723;0.129793390109341;-0.0435318791796352;0.0173614572119762;-0.0500738470267626;-0.0546790184815416;0.0949995383559393;0.000948628298854073;-0.125696127790183;-0.0537587159163493;0.0223696886274196;-0.0694209867030691;-0.0347542701726475;0.0602153545148979;-0.0322003800018763;0.173978902632858;-0.0693225539966036;0.05418093613489" "0.162961497436261;0.128935726707782;0.0807922353880476;0.0782587705976298;0.0756865574174871;0.0750988446113388;0.0765290523691853;0.0750107031528904;0.0776768686236506;0.0764569251106549;0.0758486120260763;0.0756926362522024;0.0745287234554008;0.073809071076189;0.0766308263079457;0.0764940121761899;0.0778679750784858;0.0742690563168335;0.0765245949612444;0.0764300463531955;0.0764399225441346;0.0754423832722459;0.0739509075816691;0.074525496678814;0.0726643062553603"
"114" "BEST" 3 3 1 1 1 1 0.8775 0.88376753507014 0.87125748502994 0.755069193116668 0.859 0.861553784860558 0.856425702811245 0.717996720075594 "x1;x2;x3" "3.29267517127403;-2.2790837630329;0.588813293364945;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.157485262249726;0.125470441667273;0.0783933454927462;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"115" "CFS" 2 2 0.96 1 0.666666666666667 0.798549409504691 0.859 0.857715430861723 0.860279441117764 0.717999180004724 0.8545 0.855577689243028 0.853413654618474 0.708994534395134 "x1;x2" "3.09051302829886;-2.14738410092509;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.145966748326493;0.117930619844629;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"116" "CHI2" 2 2 0.96 1 0.666666666666667 0.798549409504691 0.859 0.857715430861723 0.860279441117764 0.717999180004724 0.8545 0.855577689243028 0.853413654618474 0.708994534395134 "x1;x2" "3.09051302829886;-2.14738410092509;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.145966748326493;0.117930619844629;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"117" "CONS" 2 2 0.96 1 0.666666666666667 0.798549409504691 0.859 0.857715430861723 0.860279441117764 0.717999180004724 0.8545 0.855577689243028 0.853413654618474 0.708994534395134 "x1;x2" "3.09051302829886;-2.14738410092509;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.145966748326493;0.117930619844629;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"118" "IG" 1 1 0.92 1 0.333333333333333 0.552770798392567 0.7675 0.760521042084168 0.774451097804391 0.535031264346575 0.777 0.77191235059761 0.782128514056225 0.554054162326067 "x1" "1.91069759247898;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.0867969227328256;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"119" "IGR" 1 1 0.92 1 0.333333333333333 0.552770798392567 0.7675 0.760521042084168 0.774451097804391 0.535031264346575 0.777 0.77191235059761 0.782128514056225 0.554054162326067 "x1" "1.91069759247898;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.0867969227328256;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"120" "ONER" 2 2 0.96 1 0.666666666666667 0.798549409504691 0.859 0.857715430861723 0.860279441117764 0.717999180004724 0.8545 0.855577689243028 0.853413654618474 0.708994534395134 "x1;x2" "3.09051302829886;-2.14738410092509;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.145966748326493;0.117930619844629;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"121" "RELIEF" 1 1 0.92 1 0.333333333333333 0.552770798392567 0.7675 0.760521042084168 0.774451097804391 0.535031264346575 0.777 0.77191235059761 0.782128514056225 0.554054162326067 "x1" "1.91069759247898;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.0867969227328256;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"122" "RFI" 2 2 0.96 1 0.666666666666667 0.798549409504691 0.859 0.857715430861723 0.860279441117764 0.717999180004724 0.8545 0.855577689243028 0.853413654618474 0.708994534395134 "x1;x2" "3.09051302829886;-2.14738410092509;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.145966748326493;0.117930619844629;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"123" "SU" 1 1 0.92 1 0.333333333333333 0.552770798392567 0.7675 0.760521042084168 0.774451097804391 0.535031264346575 0.777 0.77191235059761 0.782128514056225 0.554054162326067 "x1" "1.91069759247898;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.0867969227328256;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"124" "SVM-RFE" 3 3 1 1 1 1 0.8775 0.88376753507014 0.87125748502994 0.755069193116668 0.859 0.861553784860558 0.856425702811245 0.717996720075594 "x1;x2;x3" "3.29267517127403;-2.2790837630329;0.588813293364945;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.157485262249726;0.125470441667273;0.0783933454927462;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"125" "GAMMA_BACK" 3 3 1 1 1 1 0.8775 0.88376753507014 0.87125748502994 0.755069193116668 0.859 0.861553784860558 0.856425702811245 0.717996720075594 "x1;x2;x3" "3.29267517127403;-2.2790837630329;0.588813293364945;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.157485262249726;0.125470441667273;0.0783933454927462;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"126" "GAMMA_BF" 3 3 1 1 1 1 0.8775 0.88376753507014 0.87125748502994 0.755069193116668 0.859 0.861553784860558 0.856425702811245 0.717996720075594 "x1;x2;x3" "3.29267517127403;-2.2790837630329;0.588813293364945;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.157485262249726;0.125470441667273;0.0783933454927462;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"127" "GAMMA_FORW" 3 3 1 1 1 1 0.8775 0.88376753507014 0.87125748502994 0.755069193116668 0.859 0.861553784860558 0.856425702811245 0.717996720075594 "x1;x2;x3" "3.29267517127403;-2.2790837630329;0.588813293364945;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.157485262249726;0.125470441667273;0.0783933454927462;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"128" "GAMMA_HC" 3 3 1 1 1 1 0.8775 0.88376753507014 0.87125748502994 0.755069193116668 0.859 0.861553784860558 0.856425702811245 0.717996720075594 "x1;x2;x3" "3.29267517127403;-2.2790837630329;0.588813293364945;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.157485262249726;0.125470441667273;0.0783933454927462;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"129" "BASELINE" 25 3 0.12 0 1 0 0.8715 0.865248226950355 0.877591312931886 0.742956584542846 0.8435 0.837090163934426 0.849609375 0.686790597171104 "x1;x2;x3;Noise1;Noise2;Noise3;Noise4;Noise5;Noise6;Noise7;Noise8;Noise9;Noise10;Noise11;Noise12;Noise13;Noise14;Noise15;Noise16;Noise17;Noise18;Noise19;Noise20;Noise21;Noise22" "3.17780027079075;-2.05044048199883;0.674516606807537;0.0666836780921402;-0.0588504734231231;-0.121888404863987;-0.0239815774238832;0.0314613332144903;-0.0479673065194394;-0.0880237092649661;-0.14864382796429;0.001695657240854;-0.0750103880417218;-0.105429931021957;-0.0506663271638082;-0.0253593851108067;-0.0220702502585648;-0.0836273400005631;-0.0513222718280695;-0.0488488148423267;0.193402514693182;-0.0234472800940682;-0.0673306253107244;0.0644802834495584;0.0309642674525228" "0.152455236255884;0.113313265779163;0.0794615213945203;0.0721496881110047;0.0742121060112967;0.0723696539913214;0.0764344610014779;0.0731095353665086;0.0756058592009213;0.0761772521158887;0.0743622940056404;0.0774439051870936;0.0731335895142965;0.0737640642263248;0.0771218679518231;0.075969701397009;0.0731473297284989;0.0757286851190446;0.0730732276557307;0.0759228132165745;0.0740143688865013;0.0736258273141779;0.0761729195137196;0.0776436331442535;0.0752371095608643"
"130" "BEST" 3 3 1 1 1 1 0.8655 0.864235055724417 0.866732477788746 0.73095839504594 0.8455 0.849385245901639 0.841796875 0.691011018290835 "x1;x2;x3" "3.10856533752739;-2.00180694877455;0.654099900559703;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.148334165847022;0.109807658545264;0.078203909968932;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"131" "CFS" 2 2 0.96 1 0.666666666666667 0.798549409504691 0.866 0.858156028368794 0.873642645607108 0.73196560937973 0.843 0.843237704918033 0.8427734375 0.685901343742188 "x1;x2" "2.91681652321387;-1.93646174547207;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.137775743877941;0.106487665210361;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"132" "CHI2" 2 2 0.96 1 0.666666666666667 0.798549409504691 0.866 0.858156028368794 0.873642645607108 0.73196560937973 0.843 0.843237704918033 0.8427734375 0.685901343742188 "x1;x2" "2.91681652321387;-1.93646174547207;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.137775743877941;0.106487665210361;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"133" "CONS" 3 3 1 1 1 1 0.8655 0.864235055724417 0.866732477788746 0.73095839504594 0.8455 0.849385245901639 0.841796875 0.691011018290835 "x1;x2;x3" "3.10856533752739;-2.00180694877455;0.654099900559703;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.148334165847022;0.109807658545264;0.078203909968932;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"134" "IG" 1 1 0.92 1 0.333333333333333 0.552770798392567 0.781 0.772036474164134 0.789733464955578 0.561898088151652 0.758 0.739754098360656 0.775390625 0.515590643247006 "x1" "1.94028967772149;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.0888037492097074;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"135" "IGR" 1 1 0.92 1 0.333333333333333 0.552770798392567 0.781 0.772036474164134 0.789733464955578 0.561898088151652 0.758 0.739754098360656 0.775390625 0.515590643247006 "x1" "1.94028967772149;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.0888037492097074;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"136" "ONER" 2 2 0.96 1 0.666666666666667 0.798549409504691 0.866 0.858156028368794 0.873642645607108 0.73196560937973 0.843 0.843237704918033 0.8427734375 0.685901343742188 "x1;x2" "2.91681652321387;-1.93646174547207;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.137775743877941;0.106487665210361;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"137" "RELIEF" 1 1 0.92 1 0.333333333333333 0.552770798392567 0.781 0.772036474164134 0.789733464955578 0.561898088151652 0.758 0.739754098360656 0.775390625 0.515590643247006 "x1" "1.94028967772149;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.0888037492097074;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"138" "RFI" 2 2 0.96 1 0.666666666666667 0.798549409504691 0.866 0.858156028368794 0.873642645607108 0.73196560937973 0.843 0.843237704918033 0.8427734375 0.685901343742188 "x1;x2" "2.91681652321387;-1.93646174547207;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.137775743877941;0.106487665210361;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"139" "SU" 1 1 0.92 1 0.333333333333333 0.552770798392567 0.781 0.772036474164134 0.789733464955578 0.561898088151652 0.758 0.739754098360656 0.775390625 0.515590643247006 "x1" "1.94028967772149;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.0888037492097074;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"140" "SVM-RFE" 8 3 0.8 0.772727272727273 1 0.538305421923955 0.8685 0.86322188449848 0.873642645607108 0.736949667097234 0.842 0.839139344262295 0.8447265625 0.683834432973356 "Noise10;Noise15;Noise18;Noise20;Noise8;x1;x2;x3" "3.15336224832392;-2.03736842163031;0.662096672215779;NA;NA;NA;NA;NA;NA;NA;-0.149459090014104;NA;-0.0798020667155351;NA;NA;NA;NA;-0.0830637429426868;NA;NA;0.182028612677247;NA;-0.0733614970623919;NA;NA" "0.150496935634008;0.111883538939315;0.0784002942913706;NA;NA;NA;NA;NA;NA;NA;0.0735658383595134;NA;0.0720602401005656;NA;NA;NA;NA;0.0747873598127081;NA;NA;0.0726982940391682;NA;0.0748410357905406;NA;NA"
"141" "GAMMA_BACK" 3 3 1 1 1 1 0.8655 0.864235055724417 0.866732477788746 0.73095839504594 0.8455 0.849385245901639 0.841796875 0.691011018290835 "x1;x2;x3" "3.10856533752739;-2.00180694877455;0.654099900559703;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.148334165847022;0.109807658545264;0.078203909968932;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"142" "GAMMA_BF" 3 3 1 1 1 1 0.8655 0.864235055724417 0.866732477788746 0.73095839504594 0.8455 0.849385245901639 0.841796875 0.691011018290835 "x1;x2;x3" "3.10856533752739;-2.00180694877455;0.654099900559703;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.148334165847022;0.109807658545264;0.078203909968932;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"143" "GAMMA_FORW" 3 3 1 1 1 1 0.8655 0.864235055724417 0.866732477788746 0.73095839504594 0.8455 0.849385245901639 0.841796875 0.691011018290835 "x1;x2;x3" "3.10856533752739;-2.00180694877455;0.654099900559703;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.148334165847022;0.109807658545264;0.078203909968932;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"144" "GAMMA_HC" 3 3 1 1 1 1 0.8655 0.864235055724417 0.866732477788746 0.73095839504594 0.8455 0.849385245901639 0.841796875 0.691011018290835 "x1;x2;x3" "3.10856533752739;-2.00180694877455;0.654099900559703;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.148334165847022;0.109807658545264;0.078203909968932;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
