"Approach" "Accuracy_selection" "Specificity_selection" "Sensitivity_selection" "MCC_selection" "Accuracy_training" "Specificity_training" "Sensitivity_training" "MCC_training" "Accuracy_validation" "Specificity_validation" "Sensitivity_validation" "MCC_validation" "NbVarSelected" "NbVarInf" "VarSelected" "AIC" "coef_estimate" "std_estimate"
"447" "GAMMA_FORW" 1 1 1 1 0.8625 0.854103343465046 0.870681145113524 0.724968322420117 0.856 0.850194552529183 0.862139917695473 0.712077967220328 3 3 "x1;x2;x3" 1242.01638263317 "3.0644578743218;-2.13566541468861;0.512159641760419;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.148284319854647;0.11653549346855;0.0753795295909212;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"448" "GAMMA_HC" 1 1 1 1 0.8625 0.854103343465046 0.870681145113524 0.724968322420117 0.856 0.850194552529183 0.862139917695473 0.712077967220328 3 3 "x1;x2;x3" 1242.01638263317 "3.0644578743218;-2.13566541468861;0.512159641760419;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.148284319854647;0.11653549346855;0.0753795295909212;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"449" "BASELINE" 0.12 0 1 0 0.878 0.877755511022044 0.878243512974052 0.755999023996096 0.85 0.85427135678392 0.845771144278607 0.700042501062527 25 3 "x1;x2;x3;Noise1;Noise2;Noise3;Noise4;Noise5;Noise6;Noise7;Noise8;Noise9;Noise10;Noise11;Noise12;Noise13;Noise14;Noise15;Noise16;Noise17;Noise18;Noise19;Noise20;Noise21;Noise22" 1165.0691747041 "3.38690468715416;-2.21787188584204;0.407882032195729;-0.00782020574573134;-0.0442232334835855;0.0327596971676079;-0.0110637782146007;0.0178591535336665;-0.0461623868619869;-0.0555544674961341;0.0141450589050563;-0.011237708390687;0.0377574104397152;0.0345279509426497;0.0620198533152149;-0.0671659421407019;0.0336962058462497;0.0819941183630191;0.0323192065344653;-0.0289290594185832;0.0850819668823126;-0.0259283520628368;-0.0497300757712811;-0.0102330348760274;0.100345017108372" "0.16464100326207;0.124920679766323;0.0773293988820807;0.0784718987806956;0.0780881279592164;0.0767365809905441;0.0772087526895071;0.0753896882872653;0.0771634992037035;0.0745342228936793;0.0766779910867108;0.074401403365957;0.0765185390036762;0.0764584329019716;0.0777118564374195;0.0743303468117279;0.0790715281759182;0.0760874662567966;0.0785907953120812;0.07540061659166;0.0768546138183088;0.076517388972249;0.0783325112267521;0.0746642293893899;0.0753053898268257"
"450" "BEST" 1 1 1 1 0.8735 0.870741482965932 0.87624750499002 0.747005795842681 0.846 0.850251256281407 0.841791044776119 0.692042301057527 3 3 "x1;x2;x3" 1129.98211256224 "3.34662002756183;-2.18360376820273;0.406196699343664;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.161241149823337;0.121718286460151;0.0761158302299993;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"451" "CFS" 0.96 1 0.666666666666667 0.798549409504691 0.8685 0.8687374749499 0.868263473053892 0.736999842500435 0.8445 0.846231155778895 0.842786069651741 0.689008612661488 2 2 "x1;x2" 1157.60878018366 "3.2614227077119;-2.13077972621871;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.156165132291448;0.118421926188878;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"452" "CHI2" 0.96 1 0.666666666666667 0.798549409504691 0.8685 0.8687374749499 0.868263473053892 0.736999842500435 0.8445 0.846231155778895 0.842786069651741 0.689008612661488 2 2 "x1;x2" 1157.60878018366 "3.2614227077119;-2.13077972621871;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.156165132291448;0.118421926188878;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"453" "CONS" 0.92 0.954545454545455 0.666666666666667 0.621212121212121 0.8685 0.8687374749499 0.868263473053892 0.736999842500435 0.8445 0.846231155778895 0.842786069651741 0.689008612661488 3 2 "x1;x2;Noise8" 1159.60873029319 "3.26147017832777;-2.13080546026791;NA;NA;NA;NA;NA;NA;NA;NA;0.000525315261961765;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.156310938888131;0.118478130198669;NA;NA;NA;NA;NA;NA;NA;NA;0.0743688399296831;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"454" "IGR" 0.92 0.954545454545455 0.666666666666667 0.621212121212121 0.8685 0.8687374749499 0.868263473053892 0.736999842500435 0.8445 0.846231155778895 0.842786069651741 0.689008612661488 3 2 "x1;Noise8;x2" 1159.60873029319 "3.26147017832777;-2.13080546026791;NA;NA;NA;NA;NA;NA;NA;NA;0.000525315261961667;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.156310938888131;0.11847813019867;NA;NA;NA;NA;NA;NA;NA;NA;0.0743688399296832;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"455" "IG" 0.92 1 0.333333333333333 0.552770798392567 0.7855 0.795591182364729 0.775449101796407 0.571142242559867 0.7625 0.760804020100503 0.764179104477612 0.524986012081309 1 1 "x1" 1783.75198699544 "2.10623362108894;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.0953578719049692;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"456" "ONER" 0.96 1 0.666666666666667 0.798549409504691 0.8685 0.8687374749499 0.868263473053892 0.736999842500435 0.8445 0.846231155778895 0.842786069651741 0.689008612661488 2 2 "x1;x2" 1157.60878018366 "3.2614227077119;-2.13077972621871;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.156165132291448;0.118421926188878;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"457" "RELIEF" 0.72 0.727272727272727 0.666666666666667 0.274430215098487 0.871 0.8687374749499 0.873253493013972 0.742002840151781 0.845 0.847236180904523 0.842786069651741 0.690013970231295 8 2 "Noise7;x2;x1;Noise20;Noise8;Noise19;Noise13;Noise2" 1167.91365671247 "3.26548163634028;-2.13193875389931;NA;NA;-0.013028159885627;NA;NA;NA;NA;-0.0513550080403281;0.00742548370908376;NA;NA;NA;NA;-0.0483778965848636;NA;NA;NA;NA;NA;-0.0451961079543528;-0.0463114248832929;NA;NA" "0.156677243383563;0.118725030779675;NA;NA;0.0754676412871763;NA;NA;NA;NA;0.0726376286315775;0.074769532276866;NA;NA;NA;NA;0.072592295260685;NA;NA;NA;NA;NA;0.0747233297658082;0.0762512773502742;NA;NA"
"458" "RFI" 0.96 1 0.666666666666667 0.798549409504691 0.8685 0.8687374749499 0.868263473053892 0.736999842500435 0.8445 0.846231155778895 0.842786069651741 0.689008612661488 2 2 "x1;x2" 1157.60878018366 "3.2614227077119;-2.13077972621871;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.156165132291448;0.118421926188878;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"459" "SU" 0.92 1 0.333333333333333 0.552770798392567 0.7855 0.795591182364729 0.775449101796407 0.571142242559867 0.7625 0.760804020100503 0.764179104477612 0.524986012081309 1 1 "x1" 1783.75198699544 "2.10623362108894;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.0953578719049692;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"460" "SVM-RFE" 0.8 0.772727272727273 1 0.538305421923955 0.877 0.874749498997996 0.879241516966068 0.754003080158118 0.848 0.85427135678392 0.841791044776119 0.696081892613187 8 3 "Noise11;Noise12;Noise2;Noise21;Noise22;x1;x2;x3" 1136.83321573854 "3.35843493524493;-2.19882003183194;0.407769095487839;NA;-0.0374677925834241;NA;NA;NA;NA;NA;NA;NA;NA;0.0289568389525208;0.0578259564524272;NA;NA;NA;NA;NA;NA;NA;NA;-0.0169594778162725;0.104169833709906" "0.16209234896377;0.123414075811946;0.0764518000024055;NA;0.0767807536579136;NA;NA;NA;NA;NA;NA;NA;NA;0.0754433597992566;0.0771194055958504;NA;NA;NA;NA;NA;NA;NA;NA;0.07396159308637;0.0748980624928325"
"461" "GAMMA_BACK" 0.96 1 0.666666666666667 0.798549409504691 0.8685 0.8687374749499 0.868263473053892 0.736999842500435 0.8445 0.846231155778895 0.842786069651741 0.689008612661488 2 2 "x1;x2" 1157.60878018366 "3.2614227077119;-2.13077972621871;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.156165132291448;0.118421926188878;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"462" "GAMMA_BF" 0.96 1 0.666666666666667 0.798549409504691 0.8685 0.8687374749499 0.868263473053892 0.736999842500435 0.8445 0.846231155778895 0.842786069651741 0.689008612661488 2 2 "x1;x2" 1157.60878018366 "3.2614227077119;-2.13077972621871;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.156165132291448;0.118421926188878;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"463" "GAMMA_FORW" 0.96 1 0.666666666666667 0.798549409504691 0.8685 0.8687374749499 0.868263473053892 0.736999842500435 0.8445 0.846231155778895 0.842786069651741 0.689008612661488 2 2 "x1;x2" 1157.60878018366 "3.2614227077119;-2.13077972621871;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.156165132291448;0.118421926188878;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"464" "GAMMA_HC" 0.96 1 0.666666666666667 0.798549409504691 0.8685 0.8687374749499 0.868263473053892 0.736999842500435 0.8445 0.846231155778895 0.842786069651741 0.689008612661488 2 2 "x1;x2" 1157.60878018366 "3.2614227077119;-2.13077972621871;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.156165132291448;0.118421926188878;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"465" "BASELINE" 0.12 0 1 0 0.8595 0.860973187686197 0.858006042296072 0.718984622651402 0.8495 0.861796643632774 0.836879432624113 0.699021186713229 25 3 "x1;x2;x3;Noise1;Noise2;Noise3;Noise4;Noise5;Noise6;Noise7;Noise8;Noise9;Noise10;Noise11;Noise12;Noise13;Noise14;Noise15;Noise16;Noise17;Noise18;Noise19;Noise20;Noise21;Noise22" 1286.33576717557 "2.94264158507026;-2.12644792124303;0.527777414533559;0.0765911554482489;-0.0103250802506492;-0.0930705791677596;0.00265418415572113;-0.0349204745610261;0.129048417262745;0.0457917064475307;0.0440964160512448;-0.0720891452814719;-0.00131291279985796;0.118444648854137;0.112805001627672;0.0296597248033535;0.0796167665984141;0.130148714087252;0.0580332215418546;0.0637144142260225;0.0145912770431812;0.00555535835045425;-0.00393057045960563;0.0711582884820279;0.032824355216493" "0.142745604843401;0.115833065260445;0.0784206142160914;0.0731417243922068;0.0719812169879925;0.0727456775598413;0.0720424474277502;0.0720359333193393;0.073735001955001;0.0738785896821026;0.0729047766327534;0.0689310626973033;0.0730339556061558;0.072274746444133;0.0725776718547114;0.0732442353463221;0.0723335374106112;0.0744838877017381;0.0728703442666267;0.0722659100132641;0.0718563087583345;0.0743319660929602;0.0722950178165164;0.0710259096010122;0.0735807398518047"
"466" "BEST" 1 1 1 1 0.856 0.858987090367428 0.852970795568983 0.711983519060525 0.8555 0.864758144126357 0.845997973657548 0.710974813128037 3 3 "x1;x2;x3" 1263.12726183892 "2.8844615145335;-2.08605200110552;0.509530652119876;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.139353202052228;0.113246684395841;0.0760637197334186;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"467" "CFS" 0.96 1 0.666666666666667 0.798549409504691 0.854 0.858987090367428 0.848942598187311 0.707991997645398 0.8525 0.862783810463968 0.841945288753799 0.704986862592926 2 2 "x1;x2" 1308.90770630459 "2.76680439684691;-2.02385335591193;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.132820082139912;0.109615446776433;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"468" "CHI2" 0.96 1 0.666666666666667 0.798549409504691 0.854 0.858987090367428 0.848942598187311 0.707991997645398 0.8525 0.862783810463968 0.841945288753799 0.704986862592926 2 2 "x1;x2" 1308.90770630459 "2.76680439684691;-2.02385335591193;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.132820082139912;0.109615446776433;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"469" "CONS" 0.96 1 0.666666666666667 0.798549409504691 0.854 0.858987090367428 0.848942598187311 0.707991997645398 0.8525 0.862783810463968 0.841945288753799 0.704986862592926 2 2 "x1;x2" 1308.90770630459 "2.76680439684691;-2.02385335591193;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.132820082139912;0.109615446776433;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"470" "IGR" 0.96 1 0.666666666666667 0.798549409504691 0.854 0.858987090367428 0.848942598187311 0.707991997645398 0.8525 0.862783810463968 0.841945288753799 0.704986862592926 2 2 "x1;x2" 1308.90770630459 "2.76680439684691;-2.02385335591193;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.132820082139912;0.109615446776433;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"471" "IG" 0.92 1 0.333333333333333 0.552770798392567 0.764 0.76961271102284 0.758308157099698 0.527967333569269 0.758 0.773938795656466 0.741641337386018 0.515929078054268 1 1 "x1" 1938.12627993887 "1.76366255151729;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.0813020098659744;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"472" "ONER" 0.96 1 0.666666666666667 0.798549409504691 0.854 0.858987090367428 0.848942598187311 0.707991997645398 0.8525 0.862783810463968 0.841945288753799 0.704986862592926 2 2 "x1;x2" 1308.90770630459 "2.76680439684691;-2.02385335591193;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.132820082139912;0.109615446776433;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"473" "RELIEF" 0.92 1 0.333333333333333 0.552770798392567 0.764 0.76961271102284 0.758308157099698 0.527967333569269 0.758 0.773938795656466 0.741641337386018 0.515929078054268 1 1 "x1" 1938.12627993887 "1.76366255151729;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.0813020098659744;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"474" "RFI" 0.96 1 0.666666666666667 0.798549409504691 0.854 0.858987090367428 0.848942598187311 0.707991997645398 0.8525 0.862783810463968 0.841945288753799 0.704986862592926 2 2 "x1;x2" 1308.90770630459 "2.76680439684691;-2.02385335591193;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.132820082139912;0.109615446776433;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"475" "SU" 0.96 1 0.666666666666667 0.798549409504691 0.854 0.858987090367428 0.848942598187311 0.707991997645398 0.8525 0.862783810463968 0.841945288753799 0.704986862592926 2 2 "x1;x2" 1308.90770630459 "2.76680439684691;-2.02385335591193;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.132820082139912;0.109615446776433;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"476" "SVM-RFE" 0.8 0.772727272727273 1 0.538305421923955 0.861 0.864945382323734 0.856998992950655 0.721987697958797 0.8535 0.860809476801579 0.845997973657548 0.706951354023052 8 3 "Noise12;Noise21;Noise3;Noise6;Noise7;x1;x2;x3" 1263.90732115423 "2.9191609968552;-2.09799192759183;0.514053470659297;NA;NA;-0.0933371857246903;NA;NA;0.125018986043216;0.0457223992475831;NA;NA;NA;NA;0.116669531397919;NA;NA;NA;NA;NA;NA;NA;NA;0.0790784925585193;NA" "0.141018056961704;0.113712986507016;0.0765247846664579;NA;NA;0.0721955202886868;NA;NA;0.07301858891954;0.0730378262264658;NA;NA;NA;NA;0.0717863946211921;NA;NA;NA;NA;NA;NA;NA;NA;0.0698351943383148;NA"
"477" "GAMMA_BACK" 1 1 1 1 0.856 0.858987090367428 0.852970795568983 0.711983519060525 0.8555 0.864758144126357 0.845997973657548 0.710974813128037 3 3 "x1;x2;x3" 1263.12726183892 "2.8844615145335;-2.08605200110552;0.509530652119876;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.139353202052228;0.113246684395841;0.0760637197334186;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"478" "GAMMA_BF" 1 1 1 1 0.856 0.858987090367428 0.852970795568983 0.711983519060525 0.8555 0.864758144126357 0.845997973657548 0.710974813128037 3 3 "x1;x2;x3" 1263.12726183892 "2.8844615145335;-2.08605200110552;0.509530652119876;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.139353202052228;0.113246684395841;0.0760637197334186;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"479" "GAMMA_FORW" 1 1 1 1 0.856 0.858987090367428 0.852970795568983 0.711983519060525 0.8555 0.864758144126357 0.845997973657548 0.710974813128037 3 3 "x1;x2;x3" 1263.12726183892 "2.8844615145335;-2.08605200110552;0.509530652119876;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.139353202052228;0.113246684395841;0.0760637197334186;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"480" "GAMMA_HC" 1 1 1 1 0.856 0.858987090367428 0.852970795568983 0.711983519060525 0.8555 0.864758144126357 0.845997973657548 0.710974813128037 3 3 "x1;x2;x3" 1263.12726183892 "2.8844615145335;-2.08605200110552;0.509530652119876;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.139353202052228;0.113246684395841;0.0760637197334186;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"481" "BASELINE" 0.12 0 1 0 0.8595 0.856710393541877 0.862239841427156 0.718972884806281 0.854 0.843035343035343 0.864161849710983 0.707501924137195 25 3 "x1;x2;x3;Noise1;Noise2;Noise3;Noise4;Noise5;Noise6;Noise7;Noise8;Noise9;Noise10;Noise11;Noise12;Noise13;Noise14;Noise15;Noise16;Noise17;Noise18;Noise19;Noise20;Noise21;Noise22" 1312.18463890358 "3.06439403390963;-1.93121021604583;0.572297899737314;-0.0112077884626285;0.0226548575832934;0.170788640923823;-0.0511630863654552;0.0700124394494347;-0.0800175359193924;-0.0218987436274847;0.0637627369082549;0.071060806381168;0.0261609392594162;0.0681765628151622;-0.0789684704673188;-0.014248576857455;-0.0348113311831876;-0.0758623308503028;0.0465455331480833;-0.0464993630053445;0.0847206999005247;-0.0193926395638296;-0.0920494090943045;-0.122872189737173;-0.076899080539634" "0.148183563196705;0.107942675378161;0.0748224697250897;0.0701768031504549;0.0728854294265315;0.0710061456435035;0.0720158688654082;0.0704840837185257;0.0720710167081807;0.0716161354778092;0.072186457916055;0.0692771208437169;0.0732521067090986;0.0717525162764681;0.0755293915792137;0.0708470872649136;0.0705571818239187;0.0714768753491756;0.0734131234850175;0.0732883717294322;0.076166391409248;0.070875340070401;0.0699268411492191;0.0716188291601579;0.0715014034773563"
"482" "BEST" 1 1 1 1 0.8555 0.855701311806256 0.855302279484638 0.710987592954167 0.863 0.851351351351351 0.873795761078998 0.725530848165614 3 3 "x1;x2;x3" 1290.14174073938 "3.00676882392054;-1.8889698736797;0.557111378447158;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.144363493932756;0.10484388575887;0.0730468067561901;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"483" "CFS" 0.92 1 0.333333333333333 0.552770798392567 0.77 0.765893037336024 0.774033696729435 0.539950494334529 0.761 0.745322245322245 0.775529865125241 0.521127736681309 1 1 "x1" 1909.98134622412 "1.93868799182254;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.0896450555957554;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"484" "CHI2" 0.96 1 0.666666666666667 0.798549409504691 0.85 0.848637739656912 0.851337958374628 0.69997569803154 0.8485 0.834719334719335 0.861271676300578 0.696467200055999 2 2 "x1;x2" 1350.42426095426 "2.85611675466566;-1.80333003166248;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.13601915251331;0.10035320594182;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"485" "CONS" 1 1 1 1 0.8555 0.855701311806256 0.855302279484638 0.710987592954167 0.863 0.851351351351351 0.873795761078998 0.725530848165614 3 3 "x1;x2;x3" 1290.14174073938 "3.00676882392054;-1.8889698736797;0.557111378447158;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.144363493932756;0.10484388575887;0.0730468067561901;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"486" "IGR" 0.92 1 0.333333333333333 0.552770798392567 0.77 0.765893037336024 0.774033696729435 0.539950494334529 0.761 0.745322245322245 0.775529865125241 0.521127736681309 1 1 "x1" 1909.98134622412 "1.93868799182254;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.0896450555957554;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"487" "IG" 0.92 1 0.333333333333333 0.552770798392567 0.77 0.765893037336024 0.774033696729435 0.539950494334529 0.761 0.745322245322245 0.775529865125241 0.521127736681309 1 1 "x1" 1909.98134622412 "1.93868799182254;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.0896450555957554;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"488" "ONER" 0.92 1 0.333333333333333 0.552770798392567 0.77 0.765893037336024 0.774033696729435 0.539950494334529 0.761 0.745322245322245 0.775529865125241 0.521127736681309 1 1 "x1" 1909.98134622412 "1.93868799182254;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.0896450555957554;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"489" "RELIEF" 0.92 1 0.333333333333333 0.552770798392567 0.77 0.765893037336024 0.774033696729435 0.539950494334529 0.761 0.745322245322245 0.775529865125241 0.521127736681309 1 1 "x1" 1909.98134622412 "1.93868799182254;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.0896450555957554;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
