"Approach" "Accuracy_selection" "Specificity_selection" "Sensitivity_selection" "MCC_selection" "Accuracy_training" "Specificity_training" "Sensitivity_training" "MCC_training" "Accuracy_validation" "Specificity_validation" "Sensitivity_validation" "MCC_validation" "NbVarSelected" "NbVarInf" "VarSelected" "AIC" "coef_estimate" "std_estimate"
"27" "SU" 0.92 1 0.333333333333333 0.552770798392567 0.769 0.758901322482197 0.778761061946903 0.537810883644981 0.7615 0.74070351758794 0.782089552238806 0.523293328221062 1 1 "x1" 1876.29252227714 "1.96477454653642;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.089186312527569;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"28" "SVM-RFE" 0.88 0.863636363636364 1 0.657128740672771 0.8685 0.862665310274669 0.874139626352016 0.736910721477647 0.8625 0.853266331658291 0.871641791044776 0.725074550572911 6 3 "Noise12;Noise18;Noise7;x1;x2;x3" 1258.76468917429 "3.06776520114209;-2.0418978523631;0.375595670747142;NA;NA;NA;NA;NA;NA;-0.101437373215537;NA;NA;NA;NA;-0.0868886717592651;NA;NA;NA;NA;NA;0.165634243933965;NA;NA;NA;NA" "0.146267507357072;0.114794553132655;0.073116089633453;NA;NA;NA;NA;NA;NA;0.0682890101093267;NA;NA;NA;NA;0.0696059875949895;NA;NA;NA;NA;NA;0.0716096590806973;NA;NA;NA;NA"
"29" "GAMMA_BACK" 1 1 1 1 0.8635 0.856561546286877 0.870206489675516 0.726908747085588 0.862 0.856281407035176 0.867661691542289 0.724015505558725 3 3 "x1;x2;x3" 1262.02457072131 "3.04828605396378;-2.02954565045765;0.372686972796958;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.145020402086121;0.113908299634795;0.0726017585281735;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"30" "GAMMA_BF" 1 1 1 1 0.8635 0.856561546286877 0.870206489675516 0.726908747085588 0.862 0.856281407035176 0.867661691542289 0.724015505558725 3 3 "x1;x2;x3" 1262.02457072131 "3.04828605396378;-2.02954565045765;0.372686972796958;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.145020402086121;0.113908299634795;0.0726017585281735;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"31" "GAMMA_FORW" 1 1 1 1 0.8635 0.856561546286877 0.870206489675516 0.726908747085588 0.862 0.856281407035176 0.867661691542289 0.724015505558725 3 3 "x1;x2;x3" 1262.02457072131 "3.04828605396378;-2.02954565045765;0.372686972796958;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.145020402086121;0.113908299634795;0.0726017585281735;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"32" "GAMMA_HC" 1 1 1 1 0.8635 0.856561546286877 0.870206489675516 0.726908747085588 0.862 0.856281407035176 0.867661691542289 0.724015505558725 3 3 "x1;x2;x3" 1262.02457072131 "3.04828605396378;-2.02954565045765;0.372686972796958;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.145020402086121;0.113908299634795;0.0726017585281735;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"33" "BASELINE" 0.12 0 1 0 0.8795 0.886647454370797 0.871741397288843 0.7585541329978 0.8695 0.881388621022179 0.856697819314642 0.738580283622916 25 3 "x1;x2;x3;Noise1;Noise2;Noise3;Noise4;Noise5;Noise6;Noise7;Noise8;Noise9;Noise10;Noise11;Noise12;Noise13;Noise14;Noise15;Noise16;Noise17;Noise18;Noise19;Noise20;Noise21;Noise22" 1232.7380003818 "3.12331292426147;-2.12129031025634;0.527324756968859;-0.0365330281182453;0.0862129810308391;0.071162543217245;-0.0771468083941559;0.0112257600759342;0.0343946676073196;-0.0339566545805307;-0.0314923435600117;0.0292436188180029;0.103855488249582;0.077693545666513;0.0668849686031888;0.00735514096170959;-0.0441241131471487;0.0551757490744523;0.0509542015174519;0.0365591990200602;0.0149856441137122;0.118182161507959;-0.0194525923026809;0.0263662121672937;-0.0694782166879348" "0.148119769179826;0.113464198632577;0.0792661521980066;0.0757693043342217;0.0705872042932577;0.0739122164634178;0.0733452716371225;0.0727420619484445;0.0748711181953127;0.074289582905633;0.0755883728331668;0.074180090749105;0.0758110571081234;0.0740786197797039;0.0751479791670966;0.0747120535472302;0.0759218288773247;0.0717100741066316;0.0732048631571003;0.0754060254898948;0.076318574021886;0.0754987555536877;0.0745775804347518;0.0704558262699175;0.075963698803963"
"34" "BEST" 1 1 1 1 0.8815 0.88568683957733 0.876955161626695 0.762611064077083 0.864 0.869816779170685 0.857736240913811 0.727608396236936 3 3 "x1;x2;x3" 1201.51773256571 "3.09247726847006;-2.10571873611518;0.530582233179403;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.145869696125435;0.112277128257314;0.0778948737221111;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"35" "CFS" 0.96 1 0.666666666666667 0.798549409504691 0.8705 0.878001921229587 0.862356621480709 0.740519894568765 0.8555 0.861137897782064 0.849428868120457 0.710593450188029 2 2 "x1;x2" 1248.98833421428 "2.96504090233681;-2.02527217768504;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.138646633914951;0.107951769458752;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"36" "CHI2" 0.96 1 0.666666666666667 0.798549409504691 0.8705 0.878001921229587 0.862356621480709 0.740519894568765 0.8555 0.861137897782064 0.849428868120457 0.710593450188029 2 2 "x1;x2" 1248.98833421428 "2.96504090233681;-2.02527217768504;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.138646633914951;0.107951769458752;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
